code;url;product_name
0000104026241;http://world-en.openfoodfacts.org/product/0000104026241/poulet-epice;Poulet epicé
0000105000011;http://world-en.openfoodfacts.org/product/0000105000011/chamomile-herbal-tea-lagg-s;Chamomile Herbal Tea
0000105000042;http://world-en.openfoodfacts.org/product/0000105000042/herbal-tea-peppermint-lagg-s;Herbal Tea, Peppermint
0000105000059;http://world-en.openfoodfacts.org/product/0000105000059/linden-flowers-tea-lagg-s;Linden Flowers Tea
0000105000073;http://world-en.openfoodfacts.org/product/0000105000073/herbal-tea-hibiscus-lagg-s;Herbal Tea, Hibiscus
0000105000196;http://world-en.openfoodfacts.org/product/0000105000196/apple-cinnamon-tea-lagg-s;Apple & Cinnamon Tea
0000105000219;http://world-en.openfoodfacts.org/product/0000105000219/green-tea-lagg-s;Green Tea
0000105000318;http://world-en.openfoodfacts.org/product/0000105000318/shave-grass-herbal-tea-lagg-s;Shave Grass Herbal Tea
0000105000356;http://world-en.openfoodfacts.org/product/0000105000356/herbal-tea-chamomile-mint-lagg-s;Herbal Tea, Chamomile * Mint
0000105000363;http://world-en.openfoodfacts.org/product/0000105000363/artichoke-herbal-tea-lagg-s;Artichoke Herbal Tea
0000105000417;http://world-en.openfoodfacts.org/product/0000105000417/dieter-s-herbal-tea-lagg-s;Dieter's Herbal Tea
0000105200923;http://world-en.openfoodfacts.org/product/0000105200923/kidneytea-herbal-tea-lagg-s;Kidneytea, Herbal Tea
0000105200961;http://world-en.openfoodfacts.org/product/0000105200961/bronchtea-lagg-s;Bronchtea
0000110124160;http://world-en.openfoodfacts.org/product/0000110124160/sucre-neige;Sucre neige
0000111048403;http://world-en.openfoodfacts.org/product/0000111048403/100-pure-canola-oil-canola-harvest;100% Pure Canola Oil
0000111301201;http://world-en.openfoodfacts.org/product/0000111301201/original-buttery-spread;Original Buttery Spread
0000111301263;http://world-en.openfoodfacts.org/product/0000111301263/buttery-spread-with-flaxseed-oil-canola-harvest;Buttery Spread, With Flaxseed Oil
00001144;http://world-en.openfoodfacts.org/product/00001144/snacks-de-mais;Snacks de mais
00001182;http://world-en.openfoodfacts.org/product/00001182/pain-riz-chateigne;Pain riz chateigne
0000127534587;http://world-en.openfoodfacts.org/product/0000127534587/lithuanian-rye-bread-today-s-temptations;Lithuanian Rye Bread
0000130008136;http://world-en.openfoodfacts.org/product/0000130008136/escalope-de-dinde;Escalope de dinde
00001373;http://world-en.openfoodfacts.org/product/00001373/spring-onions-sainsbury-s;Spring Onions
0000140319598;http://world-en.openfoodfacts.org/product/0000140319598/yaourt-brasse-aux-fruits;Yaourt brasse aux fruits
0000140323687;http://world-en.openfoodfacts.org/product/0000140323687/madeleine-framboise;Madeleine Framboise
